"","source","park","species","beta_yr","se_yr","p_yr","r2","disp"
"96","Discovery Park","Discovery Park","GBHE",0.0685497923711258,0.0710226339905971,0.334453488602743,0.00101874990244657,0.772082855195482
"97","Discovery Park","Discovery Park","GCKI",-0.0825585379097722,0.0324935660379862,0.0110610016370784,0.00302816922847046,0.831565669637652
"98","Discovery Park","Discovery Park","GCSP",-0.252977948320722,0.0796680817585173,0.00149630592898457,0.0113700049636295,0.435491605980821
"99","Discovery Park","Discovery Park","GRSC",-0.693903793748776,0.220777060603673,0.0016722197854226,0.00998543795555642,0.0501812655459158
"100","Discovery Park","Discovery Park","GWGU",0.0101607450625065,0.0355850467066128,0.775234966493336,2.53568052925079e-05,0.504135273709922
"101","Discovery Park","Discovery Park","HAWO",0.111466704457094,0.157027971411023,0.477795583551215,0.00188524954433861,0.591299077504014
"102","Discovery Park","Discovery Park","HEEG",-0.252316030174115,0.23945372917325,0.292013335289486,0.00136705626689377,0.041080012423982
"103","Discovery Park","Discovery Park","HETH",0.134979070368569,0.149157990933263,0.365497039360063,0.0024739386982466,0.530830668138246
"104","Discovery Park","Discovery Park","HOFI",-0.0555927221041818,0.0429810285807443,0.195864227127479,0.00105422778247617,0.765655387497835
"105","Discovery Park","Discovery Park","HOGR",0.211393395941893,0.072068157647791,0.00335441582358907,0.000504020609817098,0.0994363389838198
"106","Discovery Park","Discovery Park","HOME",-0.43425074799249,0.288783110168202,0.132651863206609,0.00385104800007628,0.0727182244754485
"107","Discovery Park","Discovery Park","HOSP",-1.81979599162446,0.259840062606267,2.49603973869659e-12,0.198891926908779,0.341784614468492
"108","Discovery Park","Discovery Park","HUVI",0.354181872193607,0.0737854356440944,1.58539181078865e-06,0.0284190990163765,0.709012447218781
"109","Discovery Park","Discovery Park","KILL",-0.577197594976961,0.252722087336401,0.0223761015189099,0.0267420811728559,0.339382195997674
"110","Discovery Park","Discovery Park","LESC",0.687498207400171,0.339728216293642,0.0430039936824994,0.0125287336324109,0.0884445481173547
"111","Discovery Park","Discovery Park","LISP",-0.576215796617881,0.19998334553822,0.00396014717114818,0.00918186176078637,0.238685394270789
"112","Discovery Park","Discovery Park","MALL",-0.152500070982263,0.0685053111702269,0.0260070950973401,0.00288588638003707,0.242859028234154
"113","Discovery Park","Discovery Park","MERL",0.155256101375172,0.172361527647546,0.367716767162864,0.00343684816060884,0.578662743594886
"114","Discovery Park","Discovery Park","MODO",-0.685507523998402,0.289306307259336,0.0178127829652926,0.0624072153111674,0.781729826161007
"115","Discovery Park","Discovery Park","NOFL",-0.204307883328816,0.031127784912402,5.25516786220446e-11,0.0184105159845804,0.970896249606583
"116","Discovery Park","Discovery Park","NRWS",-0.507639915715793,0.242239003775743,0.0361162747454532,0.0325532786419563,1.21861515376994
"117","Discovery Park","Discovery Park","NSHO",-0.580696708932649,0.192197287741541,0.00251644090479365,0.00719599966584545,0.974625553989724
"118","Discovery Park","Discovery Park","OCWA",0.0645104802813952,0.042169196983411,0.126065990688291,0.00115969706998092,0.929982526051455
"119","Discovery Park","Discovery Park","OSFL",-0.0859780764260826,0.146224755371073,0.556541839474912,0.00149395089577299,2.29402410243013
"120","Discovery Park","Discovery Park","OSPR",0.306497954842562,0.121847020914031,0.0118886444676376,0.0152548259363776,0.748889233827073
"121","Discovery Park","Discovery Park","PAWR",-0.00881896081131804,0.0238582766093027,0.711651135180341,2.47240586456185e-05,0.873660997686544
"122","Discovery Park","Discovery Park","PEFA",-0.239130940769127,0.29588635793335,0.418984043614254,0.00669158408370603,0.512497428490463
"123","Discovery Park","Discovery Park","PIGU",-0.4123149426256,0.217150820584794,0.0575974618802785,0.0033082441476059,0.071924715121747
"124","Discovery Park","Discovery Park","PISI",-0.16790823935656,0.0499961834570152,0.000783890850924112,0.0188556592823071,1.33981395108598
"125","Discovery Park","Discovery Park","PIWO",0.351397143589318,0.0887297910305482,7.48537131362569e-05,0.0280453283238354,1.10874135958924
"126","Discovery Park","Discovery Park","PUFI",1.00213202882916,0.0975497953228883,9.32290739631671e-25,0.22405066005812,0.889090588023984
"127","Discovery Park","Discovery Park","RBME",0.0618977874419821,0.14059937604387,0.659761653134801,8.61704863334884e-05,0.1335087743525
"128","Discovery Park","Discovery Park","RBNU",0.124598975167458,0.0340621482497178,0.000254201617467915,0.00432718561539474,0.807724671968373
"129","Discovery Park","Discovery Park","RBSA",0.604783626825698,0.288778233759779,0.0362346911406237,0.0308796573745772,0.773494870778206
"130","Discovery Park","Discovery Park","RCKI",-0.129815720888907,0.0373482974314937,0.000509306106115405,0.00684683719541121,0.923858307957395
"131","Discovery Park","Discovery Park","RECR",-0.0489928456130059,0.415368971172759,0.906107131496384,0.00168855446713545,19.2896882710513
"132","Discovery Park","Discovery Park","RHAU",-0.171098872837575,0.167840382107956,0.308006356280904,0.000279704521567582,0.0319582334428549
"133","Discovery Park","Discovery Park","RNGR",-0.317371538465821,0.126490415618262,0.0121054285601158,0.0012472393249901,0.111395485843396
"134","Discovery Park","Discovery Park","ROPI",-0.519210056268426,0.117194043916334,9.40824138914214e-06,0.0500169095635159,0.961774368622682
"135","Discovery Park","Discovery Park","RTHA",-0.190183148122511,0.107864747869028,0.0778729776799524,0.00586058930696289,0.604897752921578
"136","Discovery Park","Discovery Park","RTLO",-0.146698819607773,0.212716241919347,0.490417085766553,0.000242358730401599,0.0552886630441253
"137","Discovery Park","Discovery Park","RUHU",-0.214411317065042,0.0830520558395428,0.0098329328674182,0.00795670320635689,0.730109718273943
"138","Discovery Park","Discovery Park","RWBL",-0.9259320824851,0.105787723633711,2.08240299396259e-18,0.116638044542065,0.673848083087226
"139","Discovery Park","Discovery Park","SAND",-1.87102763632942,0.365203245848737,3.0031327567142e-07,0.0464353150014799,0.0161472778260977
"140","Discovery Park","Discovery Park","SAVS",-0.313491377626193,0.064783445781075,1.30450645471271e-06,0.00710013550713872,0.367054382317545
"141","Discovery Park","Discovery Park","SBIG",0.0683867155379253,0.0650128440834414,0.292847515067716,6.39278831868689e-05,0.112449967546895
"142","Discovery Park","Discovery Park","SOSP",-0.0945435726094547,0.015908962661518,2.80216864950251e-09,0.00840906230217908,1.07875872984713
"143","Discovery Park","Discovery Park","SPTO",-0.0909899734956611,0.0187896722730152,1.28181785031004e-06,0.00504573659121862,0.970170425450545
"144","Discovery Park","Discovery Park","SSHA",-0.765235377853069,0.62106084281832,0.21789590702766,0.0851238052183621,6.51897978888333
"145","Discovery Park","Discovery Park","STJA",-0.216557561568562,0.0530926934028811,4.52574526180782e-05,0.012437301619756,1.35957793123601
"146","Discovery Park","Discovery Park","SUSC",-0.0410884042554985,0.114094433622595,0.718752698840852,2.25322674542573e-05,0.133570310219905
"147","Discovery Park","Discovery Park","SWTH",0.145506410102341,0.0528724084254737,0.00592272456302281,0.00496626631260887,0.77981891555635
"148","Discovery Park","Discovery Park","TOWA",0.248211357616298,0.127731056820299,0.0519878680234386,0.0120447916607358,0.805797014325
"149","Discovery Park","Discovery Park","TRES",-0.987669771113906,0.196557093016754,5.03828008874307e-07,0.12789424671274,0.468919217397674
"150","Discovery Park","Discovery Park","VASW",-0.353475375469185,0.262185088032317,0.17759720452256,0.0183044410905659,0.594283739647351
"151","Discovery Park","Discovery Park","VATH",0.0741477685928872,0.049733992474742,0.13599113463865,0.00150961619882234,0.824227150295124
"152","Discovery Park","Discovery Park","VESC",-1.02673504574494,0.415509789318572,0.0134726428315095,0.0150139186665038,0.0711902784986433
"153","Discovery Park","Discovery Park","VGSW",-0.47375220811565,0.097368177838166,1.14124307517834e-06,0.0693903488259405,0.803449291550169
"154","Discovery Park","Discovery Park","WAVI",0.247621612770923,0.07281994812743,0.000672715910489228,0.0148414173776848,1.35545355188762
