PARK,YEAR,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Lincoln Park,2014,3913742.172,1859996.28,2169995.66,3719992.56,48437.40312,222812.0544,0,2567182.366,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2014,8147171.206,5424989.15,5618738.763,4407803.684,1162497.675,0,0,0,0,19374.96125,0,397186.7056,0,9687.480625
Seward Park,2014,9890917.718,1772808.954,1462809.574,629686.2406,0,0,0,5008427.483,1317497.365,29062.44188,9687.480625,0,9687.480625,116249.7675
Washington Park Arboretum,2014,0,7469047.562,3390618.219,1908433.683,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2015,2673744.652,3923429.653,3516555.467,3913742.172,513436.4731,261561.9769,145312.2094,397186.7056,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2015,0,4814677.871,1995621.009,3797492.405,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2015,10753103.49,8156858.686,7875921.748,6994361.011,1249685.001,484374.0313,3070931.358,668436.1631,5531551.437,184062.1319,455311.5894,2760931.978,900935.6981,445624.1088
Genesee Park,2015,2131245.737,1114060.272,2024683.451,3129056.242,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2015,4601553.297,1850308.799,2073120.854,2199058.102,193749.6125,29062.44188,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2015,1859996.28,87187.32562,1133435.233,1123747.752,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2015,3855617.289,1850308.799,2179683.141,3739367.521,48437.40312,242187.0156,0,2586557.327,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2015,8118108.764,5502488.995,5638113.724,4427178.646,1152810.194,0,0,0,0,19374.96125,0,319686.8606,0,9687.480625
Seward Park,2015,9871542.757,1763121.474,1443434.613,658748.6825,0,0,0,5027802.444,1317497.365,38749.9225,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2015,0,7449672.601,3429368.141,1889058.722,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2016,2789994.42,3942804.614,3497180.506,3913742.172,513436.4731,154999.69,145312.2094,387499.225,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2016,0,4814677.871,1976246.048,3816867.366,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2016,10869353.26,8263420.973,7943734.112,6887798.724,1191560.117,455311.5894,3070931.358,668436.1631,5521863.956,184062.1319,435936.6281,2741557.017,900935.6981,397186.7056
Genesee Park,2016,2150620.699,1114060.272,2014995.97,3119368.761,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2016,4659678.181,1850308.799,2053745.893,2169995.66,193749.6125,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2016,1859996.28,87187.32562,1114060.272,1143122.714,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2016,3933117.134,1850308.799,2179683.141,3719992.56,48437.40312,203437.0931,0,2567182.366,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2016,8147171.206,5541238.918,5628426.243,4436866.126,1133435.233,0,0,0,0,19374.96125,0,271249.4575,0,9687.480625
Seward Park,2016,9919980.16,1763121.474,1433747.133,649061.2019,0,0,0,5008427.483,1317497.365,29062.44188,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2016,0,7449672.601,3448743.103,1869683.761,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2017,2751244.498,3933117.134,3516555.467,3904054.692,513436.4731,193749.6125,145312.2094,387499.225,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2017,0,4795302.909,1966558.567,3845929.808,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2017,10694978.61,8340920.818,8089046.322,6752173.996,1123747.752,503748.9925,3080618.839,678123.6438,5521863.956,377811.7444,280936.9381,2722182.056,900935.6981,464999.07
Genesee Park,2017,2150620.699,1114060.272,2024683.451,3099993.8,9687.480625,0,0,0,0,0,0,0,0,0
Golden Gardens,2017,4582178.336,1840621.319,2082808.334,2199058.102,203437.0931,38749.9225,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2017,1859996.28,87187.32562,1123747.752,1133435.233,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2017,3797492.405,1859996.28,2218433.063,3719992.56,58124.88375,232499.535,0,2615619.769,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2017,8147171.206,5609051.282,5647801.204,4407803.684,1133435.233,0,0,0,0,19374.96125,0,213124.5738,0,9687.480625
Seward Park,2017,9842480.315,1753433.993,1453122.094,658748.6825,0,0,0,5056864.886,1317497.365,38749.9225,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2017,0,7449672.601,3468118.064,1850308.799,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2018,2760931.978,3952492.095,3506867.986,3894367.211,513436.4731,184062.1319,145312.2094,387499.225,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2018,0,4795302.909,1937496.125,3874992.25,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2018,10782165.94,8360295.779,8195608.609,6703736.593,1114060.272,445624.1088,3080618.839,697498.605,5502488.995,484374.0313,164687.1706,2673744.652,900935.6981,426249.1475
Genesee Park,2018,2150620.699,1114060.272,2053745.893,3070931.358,9687.480625,0,0,0,0,0,0,0,0,0
Golden Gardens,2018,4659678.181,1840621.319,2053745.893,2169995.66,203437.0931,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2018,1859996.28,87187.32562,1123747.752,1133435.233,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2018,3884679.731,1859996.28,2199058.102,3719992.56,58124.88375,213124.5738,0,2567182.366,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2018,8127796.244,5657488.685,5705926.088,4378741.242,1133435.233,0,0,0,0,19374.96125,0,154999.69,0,9687.480625
Seward Park,2018,9900605.199,1753433.993,1453122.094,658748.6825,0,0,0,5008427.483,1307809.884,48437.40312,9687.480625,0,9687.480625,96874.80625
Washington Park Arboretum,2018,0,7391547.717,3526242.948,1850308.799,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2019,2741557.017,3962179.576,3506867.986,3894367.211,513436.4731,193749.6125,135624.7288,397186.7056,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2019,0,4795302.909,1947183.606,3855617.289,494061.5119,0,0,0,0,0,0,0,0,0
Discovery Park,2019,10724041.05,8350608.299,8214983.57,6674674.151,1075310.349,503748.9925,3099993.8,687811.1244,5512176.476,581248.8375,67812.36438,2683432.133,900935.6981,455311.5894
Genesee Park,2019,2160308.179,1114060.272,2044058.412,3070931.358,9687.480625,0,0,0,0,0,0,0,0,0
Golden Gardens,2019,4649990.7,1830933.838,2044058.412,2199058.102,203437.0931,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2019,1889058.722,87187.32562,1114060.272,1114060.272,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2019,3933117.134,1859996.28,2189370.621,3690930.118,58124.88375,213124.5738,0,2557494.885,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2019,8137483.725,5725301.049,5725301.049,4359366.281,1143122.714,0,0,0,0,19374.96125,0,67812.36438,0,9687.480625
Seward Park,2019,9978105.044,1753433.993,1414372.171,668436.1631,0,0,0,5008427.483,1307809.884,29062.44188,9687.480625,0,9687.480625,67812.36438
Washington Park Arboretum,2019,0,7391547.717,3516555.467,1859996.28,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2020,2809369.381,3962179.576,3506867.986,3894367.211,513436.4731,135624.7288,135624.7288,387499.225,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2020,0,4795302.909,1937496.125,3865304.769,494061.5119,0,0,0,0,0,0,0,0,0
Discovery Park,2020,10927478.14,8399045.702,8176233.647,6664986.67,1065622.869,416561.6669,3099993.8,649061.2019,5512176.476,629686.2406,19374.96125,2673744.652,891248.2175,406874.1863
Genesee Park,2020,2160308.179,1114060.272,2044058.412,3070931.358,9687.480625,0,0,0,0,0,0,0,0,0
Golden Gardens,2020,4669365.661,1830933.838,2044058.412,2150620.699,232499.535,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2020,1869683.761,96874.80625,1133435.233,1104372.791,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2020,3952492.095,1859996.28,2189370.621,3681242.638,58124.88375,213124.5738,0,2547807.404,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2020,8147171.206,5734988.53,5754363.491,4349678.801,1123747.752,0,0,0,0,19374.96125,0,48437.40312,0,9687.480625
Seward Park,2020,9968417.563,1753433.993,1414372.171,668436.1631,0,0,0,4989052.522,1307809.884,38749.9225,9687.480625,0,9687.480625,87187.32562
Washington Park Arboretum,2020,0,7391547.717,3545617.909,1830933.838,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2021,2615619.769,3962179.576,3516555.467,3894367.211,513436.4731,280936.9381,135624.7288,416561.6669,3284055.932,9687.480625,0,0,1675934.148,9687.480625
Cheasty Greenspace,2021,0,4795302.909,1937496.125,3855617.289,503748.9925,0,0,0,0,0,0,0,0,0
Discovery Park,2021,10539978.92,8418420.663,8176233.647,6684361.631,1065622.869,532811.4344,3099993.8,784685.9306,5512176.476,649061.2019,19374.96125,2673744.652,900935.6981,474686.5506
Genesee Park,2021,2150620.699,1114060.272,2063433.373,3061243.877,9687.480625,0,0,0,0,0,0,0,0,0
Golden Gardens,2021,4562803.374,1821246.357,2102183.296,2179683.141,242187.0156,38749.9225,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2021,1859996.28,96874.80625,1143122.714,1104372.791,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2021,3739367.521,1859996.28,2257182.986,3739367.521,58124.88375,261561.9769,0,2586557.327,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2021,8127796.244,5734988.53,5764050.972,4369053.762,1123747.752,0,0,0,0,19374.96125,0,38749.9225,0,9687.480625
Seward Park,2021,9949042.602,1763121.474,1404684.691,668436.1631,0,0,0,5018114.964,1307809.884,38749.9225,9687.480625,0,9687.480625,77499.845
Washington Park Arboretum,2021,0,7401235.197,3545617.909,1821246.357,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2022,2712494.575,3962179.576,3458430.583,3933117.134,523123.9537,232499.535,135624.7288,387499.225,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2022,0,4795302.909,1918121.164,3874992.25,503748.9925,0,0,0,0,0,0,0,0,0
