"","spp","disp","r2","beta_yr","se_yr","p_yr","park"
"395","AGOL","2.17618714508985","0.153090369232287","-0.21954509471447","0.0399097821848134","3.77568989980098e-08","Magnuson Park"
"396","AMCO","-1.21815221638373","0.0915162345144012","-0.345682801943397","0.135325291634009","0.0106353196171464","Magnuson Park"
"397","AMCR","1.82728834786934","0.0176237272294812","0.0550299014061128","0.0310297669686682","0.0761533100735016","Magnuson Park"
"398","AMRO","0.0761430322206396","0.377666362814741","-0.322587208200827","0.0354279017641896","8.59046305365377e-20","Magnuson Park"
"399","AMWI","0.153681889821671","0.00143027671243134","0.0338736886587308","0.0874704914622045","0.698564867904008","Magnuson Park"
"400","ANHU","0.260008459813166","0.146320298742438","0.177171149545177","0.0360243722658411","8.73921809711811e-07","Magnuson Park"
"401","BAEA","-1.19385048724961","0.0464709950074995","-0.224972670425581","0.121328334376784","0.0637038656829832","Magnuson Park"
"402","BARS","0.0978583240940281","0.27294930488181","-0.429481257194548","0.0678797247769497","2.49824573462807e-10","Magnuson Park"
"403","BCCH","0.0416095372922194","0.249618007143202","0.226151851048853","0.0331389213484724","8.83196069402348e-12","Magnuson Park"
"404","BEKI","-0.627576524915012","0.0497688012084484","-0.333114015386715","0.188755988000538","0.0775996579642777","Magnuson Park"
"405","BEWR","-0.150138899218251","0.0767391284673481","0.123819042708597","0.0374116218324192","0.000934156554411507","Magnuson Park"
"406","BHCO","-0.573358174321966","0.329536223070449","-0.548428159206208","0.0817366187747312","1.95025467852694e-11","Magnuson Park"
"407","BHGR","0.249459879972371","0.113465393194802","-0.720854045751004","0.318854319869529","0.0237739375014088","Magnuson Park"
"408","BRCR","-1.24848692982348","0.42085912554895","1.3236404703282","0.30624181117437","1.54476221199743e-05","Magnuson Park"
"409","BTPI","-1.54248517900111","0.00224635985651589","0.0859507159033881","0.320929240229356","0.78883920208797","Magnuson Park"
"410","BUFF","-0.750783548803276","0.0587934732760379","-0.160670356858653","0.0636449297867072","0.0115869574527704","Magnuson Park"
"411","BUOR","-0.797350788452193","0.361095887725653","-1.2503809777865","0.315410265084509","7.36115697298322e-05","Magnuson Park"
"412","BUSH","-0.418868531316656","0.141651545916083","-0.269882737233543","0.064397635166412","2.77875061268667e-05","Magnuson Park"
"413","CAGU","-0.161731745916464","0.0847170422862573","0.276907000524823","0.0942242921246347","0.00329478271559718","Magnuson Park"
"414","CANG","-0.727404426658984","6.50734517708695e-05","-0.0063672650764159","0.081626582930215","0.937824236727942","Magnuson Park"
"415","CANV","-0.954731928222631","0.233888470609982","-1.14497575841738","0.446601424896915","0.0103547193519322","Magnuson Park"
"416","CAQU","-1.09920324034759","0.527907385051974","-1.53852304209648","0.259491270023943","3.04790078813275e-09","Magnuson Park"
"417","CATE","-0.469662871223981","0.0733973414828927","0.474572374706003","0.235452903285333","0.0438447076721592","Magnuson Park"
"418","CBCH","-0.951175705327635","0.197123688212159","0.623440304125354","0.166406640767087","0.000179328344804633","Magnuson Park"
"419","CEDW","0.256788666617226","0.0835316522307145","-0.227139882397276","0.0700654878809933","0.00118767926418463","Magnuson Park"
"420","CLSW","0.601596168370689","0.357115400382143","-0.657287691039974","0.0880762778995646","8.47609788390556e-14","Magnuson Park"
"421","COGO","-0.930883334144263","0.000151490521701936","-0.00863867708978219","0.0723852668861792","0.905003593935841","Magnuson Park"
"422","COHA","-1.21337750148164","0.163779250266688","0.434969754108554","0.1184553848495","0.000240647111511374","Magnuson Park"
"423","COME","-0.997801755129349","0.01477754909304","-0.105202786700425","0.0933468654533553","0.259738543490408","Magnuson Park"
"424","COYE","-0.212040096344958","0.185498891623102","0.510339690754191","0.119396590391224","1.91718228221906e-05","Magnuson Park"
"425","DCCO","-0.841004776282652","0.0447987212645938","-0.169645249196048","0.0821687497770409","0.0389612684691567","Magnuson Park"
"426","DEJU","-0.0407823275671528","0.711415602927798","1.04812819338471","0.0702077798416234","2.13614102645418e-50","Magnuson Park"
"427","DOWO","0.0120838109377717","0.155809619385101","0.384147806837275","0.0901783770304676","2.0454945063003e-05","Magnuson Park"
"428","EUST","0.340078712024885","0.397226059420279","-0.494832832204403","0.0560730704274242","1.0966957538186e-18","Magnuson Park"
"429","EUWI","-1.23661725455663","0.0587844070805764","-0.412950565752426","0.263433630979896","0.116981598783529","Magnuson Park"
"430","FOSP","-0.584417367520607","0.00112137776931898","-0.02183846346987","0.0630358782014167","0.729008327518645","Magnuson Park"
"431","GADW","2.31809134711028","0.0123102239188826","-0.0913836314241775","0.0655080389555855","0.163016221265603","Magnuson Park"
"432","GBHE","-1.32876753239001","0.00232327133547472","-0.0588563714252316","0.160128929389603","0.713204222863447","Magnuson Park"
"433","GCKI","-0.293537878240534","0.110169212521695","0.287235374350606","0.0811984118292151","0.000404009685176115","Magnuson Park"
"434","GCSP","-0.315683501428822","0.121507714450634","-0.328846421305518","0.0908672178981003","0.000295769296619115","Magnuson Park"
"435","GRSC","-0.273943861422704","0.00199323678846897","0.0492601197888196","0.12053798372577","0.682782692949755","Magnuson Park"
"436","GWGU","-0.898869502062923","0.000718527771007782","0.0181755392070101","0.0689136427105292","0.791977418546829","Magnuson Park"
"437","GWTE","0.415261412129393","0.0103707688310758","-0.16303222817904","0.186076225928517","0.38094398718461","Magnuson Park"
"438","HETH","-1.25482497436271","0.153925197298325","0.734332331240945","0.310986528461855","0.0182110169352911","Magnuson Park"
"439","HOFI","-0.641631479770955","0.0827455637106772","-0.120243985345123","0.0357636043093356","0.000773272682138063","Magnuson Park"
"440","HOGR","-1.28415583805845","0.0833744533951113","-0.339433494869432","0.140772549351653","0.0158992830654574","Magnuson Park"
"441","HOSP","-0.241692897589018","0.604086452883912","-1.93181632284248","0.3009246626442","1.36631809797053e-10","Magnuson Park"
"442","KILL","0.0908330437259948","0.188798741166133","-0.667155665710507","0.162935851948443","4.22914367336736e-05","Magnuson Park"
"443","LESC","0.403133762134601","0.0591607703951196","-0.264158793782638","0.103573927518117","0.0107587916919561","Magnuson Park"
